
> fp-erp@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.4.22:3000
- Environments: .env.local
✓ Ready in 366ms

 GET /api/icon?style=fp94&color=Black 200 in 34ms (next.js: 19ms, application-code: 15ms)
 GET /api/icon?style=fp116&color=White 200 in 19ms (next.js: 3ms, application-code: 16ms)
 GET /api/icon?style=fp52&color=White 200 in 22ms (next.js: 4ms, application-code: 18ms)
 GET /api/icon?style=fp123&color=Navy%20Buttermilk 200 in 28ms (next.js: 9ms, application-code: 19ms)
 GET /api/icon?style=fp55&color=White%20With%20White 200 in 30ms (next.js: 8ms, application-code: 22ms)
 GET /api/icon?style=fp89&color=Buttermilk 200 in 31ms (next.js: 11ms, application-code: 20ms)
 GET /api/icon?style=fp38&color=Chocolate 200 in 26ms (next.js: 8ms, application-code: 18ms)
 GET /api/icon?style=fp100&color=Burgundy 200 in 9ms (next.js: 1451µs, application-code: 8ms)
 GET /api/icon?style=fp52&color=Black%20White 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /api/icon?style=fp94&color=Buttermilk 200 in 14ms (next.js: 2ms, application-code: 12ms)
 GET /api/icon?style=fp82&color=Hot%20Pink 200 in 19ms (next.js: 1776µs, application-code: 17ms)
 GET /api/icon?style=fp94&color=Navy 200 in 33ms (next.js: 5ms, application-code: 29ms)
 GET /api/icon?style=fp133&color=Blue%20Green%20Stripes 404 in 30ms (next.js: 13ms, application-code: 17ms)
 GET /api/icon?style=fp121&color=Brown 200 in 42ms (next.js: 7ms, application-code: 35ms)
 GET /api/icon?style=fp127&color=Ice%20Blue 404 in 22ms (next.js: 13ms, application-code: 9ms)
 GET /api/icon?style=fp89&color=Pink 200 in 39ms (next.js: 1293µs, application-code: 37ms)
 GET /api/icon?style=fpc3&color=Pale%20Yellow%20(40%20On%20Swatch%20Book) 404 in 8ms (next.js: 1430µs, application-code: 7ms)
 GET /api/icon?style=fpc3&color=Custom 404 in 13ms (next.js: 4ms, application-code: 9ms)
 GET /api/icon?style=fp52&color=Crimson%20White 200 in 16ms (next.js: 5ms, application-code: 10ms)
 GET /api/icon?style=fp116&color=Navy 200 in 16ms (next.js: 6ms, application-code: 10ms)
 GET /api/icon?style=fp82&color=White 200 in 17ms (next.js: 8ms, application-code: 10ms)
 GET /api/icon?style=fpc35&color=Blue%2028 404 in 8ms (next.js: 2ms, application-code: 6ms)
 GET /api/icon?style=fpc2&color=No%20%2319%20(Gsm%20For%20Light%20Garments) 404 in 8ms (next.js: 5ms, application-code: 3ms)
 GET /api/icon?style=fp82&color=Navy 200 in 14ms (next.js: 1645µs, application-code: 13ms)
 GET /api/icon?style=fpc35&color=Custom 404 in 8ms (next.js: 7ms, application-code: 1715µs)
 GET /api/icon?style=fp101&color=Custom%20Color 200 in 18ms (next.js: 6ms, application-code: 12ms)
 GET /api/icon?style=fp124&color=Brown 200 in 19ms (next.js: 4ms, application-code: 15ms)
